customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Churn,age,zipcode
7590-VHVEG,Female,0,Yes,No,1,No,56,90420
5575-GNVDE,Male,0,No,No,34,No,49,95057
3668-QPYBK,Male,0,No,No,2,Yes,19,69274
7795-CFOCW,Male,0,No,No,45,No,56,80998
9237-HQITU,Female,0,No,No,2,Yes,37,47305
9305-CDSKC,Female,0,No,No,8,Yes,41,54675
1452-KIOVK,Male,0,No,Yes,22,No,18,61308
6713-OKOMC,Female,0,No,No,10,No,41,23913
7892-POOKP,Female,0,Yes,No,28,Yes,45,68066
6388-TABGU,Male,0,No,Yes,62,No,57,37434
9763-GRSKD,Male,0,Yes,Yes,13,No,45,18383
7469-LKBCI,Male,0,No,No,16,No,15,33412
8091-TTVAX,Male,0,Yes,No,58,No,15,49293
0280-XJGEX,Male,0,No,No,49,Yes,58,14128
5129-JLPIS,Male,0,No,No,25,No,40,86071
3655-SNQYZ,Female,0,Yes,Yes,69,No,44,28100
8191-XWSZG,Female,0,No,No,52,No,31,54012
9959-WOFKT,Male,0,No,Yes,71,No,22,64586
4190-MFLUW,Female,0,Yes,Yes,10,Yes,45,99847
4183-MYFRB,Female,0,No,No,21,No,19,61695
8779-QRDMV,Male,1,No,No,1,Yes,64,11155
1680-VDCWW,Male,0,Yes,No,12,No,57,80504
1066-JKSGK,Male,0,No,No,1,Yes,55,34521
3638-WEABW,Female,0,Yes,No,58,No,41,96561
6322-HRPFA,Male,0,Yes,Yes,49,No,18,94122
6865-JZNKO,Female,0,No,No,30,No,30,65320
6467-CHFZW,Male,0,Yes,Yes,47,Yes,31,90244
8665-UTDHZ,Male,0,Yes,Yes,1,Yes,43,27054
5248-YGIJN,Male,0,Yes,No,72,No,43,16366
8773-HHUOZ,Female,0,No,Yes,17,Yes,25,64313
3841-NFECX,Female,1,Yes,No,71,No,72,90195
4929-XIHVW,Male,1,Yes,No,2,No,65,73711
6827-IEAUQ,Female,0,Yes,Yes,27,No,53,56622
7310-EGVHZ,Male,0,No,No,1,No,39,87569
3413-BMNZE,Male,1,No,No,1,No,78,93181
6234-RAAPL,Female,0,Yes,Yes,72,No,31,90498
6047-YHPVI,Male,0,No,No,5,Yes,20,22608
6572-ADKRS,Female,0,No,No,46,No,21,43658
5380-WJKOV,Male,0,No,No,34,Yes,41,85031
8168-UQWWF,Female,0,No,No,11,Yes,30,27348
8865-TNMNX,Male,0,Yes,Yes,10,No,26,66862
9489-DEDVP,Female,0,Yes,Yes,70,No,55,26089
9867-JCZSP,Female,0,Yes,Yes,17,No,51,51022
4671-VJLCL,Female,0,No,No,63,No,32,72361
4080-IIARD,Female,0,Yes,No,13,No,56,33422
3714-NTNFO,Female,0,No,No,49,No,27,99596
5948-UJZLF,Male,0,No,No,2,No,28,27004
7760-OYPDY,Female,0,No,No,2,Yes,27,80082
7639-LIAYI,Male,0,No,No,52,No,57,36971
2954-PIBKO,Female,0,Yes,Yes,69,No,45,68270
8012-SOUDQ,Female,1,No,No,43,No,71,18996
9420-LOJKX,Female,0,No,No,15,Yes,19,57579
6575-SUVOI,Female,1,Yes,No,25,No,75,47643
7495-OOKFY,Female,1,Yes,No,8,Yes,72,31971
4667-QONEA,Female,1,Yes,Yes,60,No,61,12472
1658-BYGOY,Male,1,No,No,18,Yes,71,72724
8769-KKTPH,Female,0,Yes,Yes,63,No,32,45280
5067-XJQFU,Male,1,Yes,Yes,66,No,63,33600
3957-SQXML,Female,0,Yes,Yes,34,No,36,14993
5954-BDFSG,Female,0,No,No,72,No,49,40134
0434-CSFON,Female,0,Yes,No,47,No,47,11707
1215-FIGMP,Male,0,No,No,60,No,48,23580
0526-SXDJP,Male,0,Yes,No,72,No,36,82283
0557-ASKVU,Female,0,Yes,Yes,18,No,50,80759
5698-BQJOH,Female,0,No,No,9,Yes,27,62252
5122-CYFXA,Female,0,No,No,3,No,40,89682
8627-ZYGSZ,Male,0,Yes,No,47,No,54,24409
3410-YOQBQ,Female,0,No,No,31,No,57,21062
3170-NMYVV,Female,0,Yes,Yes,50,No,47,82641
7410-OIEDU,Male,0,No,No,10,No,41,10375
2273-QCKXA,Male,0,No,No,1,No,21,11847
0731-EBJQB,Female,0,Yes,Yes,52,No,37,92584
1891-QRQSA,Male,1,Yes,Yes,64,No,70,98347
8028-PNXHQ,Male,0,Yes,Yes,62,No,19,85112
5630-AHZIL,Female,0,No,Yes,3,No,41,46239
2673-CXQEU,Female,1,No,No,56,No,79,77867
6416-JNVRK,Female,0,No,No,46,No,21,23388
5590-ZSKRV,Female,0,Yes,Yes,8,No,17,56187
0191-ZHSKZ,Male,1,No,No,30,No,62,91822
3887-PBQAO,Female,0,Yes,Yes,45,No,16,27028
5919-TMRGD,Female,0,No,Yes,1,Yes,20,45316
8108-UXRQN,Female,0,Yes,Yes,11,No,34,83773
9191-MYQKX,Female,0,Yes,No,7,Yes,55,96684
9919-YLNNG,Female,0,No,No,42,No,52,75296
0318-ZOPWS,Female,0,Yes,No,49,No,32,11749
4445-ZJNMU,Male,0,No,No,9,No,26,12343
4808-YNLEU,Female,0,Yes,No,35,No,30,73217
1862-QRWPE,Female,0,Yes,Yes,48,No,32,91103
2796-NNUFI,Female,0,Yes,Yes,46,No,15,40333
3016-KSVCP,Male,0,Yes,No,29,No,35,15472
4767-HZZHQ,Male,0,Yes,Yes,30,No,21,39176
2424-WVHPL,Male,1,No,No,1,No,79,22872
7233-PAHHL,Male,0,Yes,Yes,66,No,47,81024
6067-NGCEU,Female,0,No,No,65,No,21,92736
9848-JQJTX,Male,0,No,No,72,No,30,74745
8637-XJIVR,Female,0,No,No,12,Yes,28,12834
9803-FTJCG,Male,0,Yes,Yes,71,No,16,36684
0278-YXOOG,Male,0,No,No,5,Yes,55,35435
3212-KXOCR,Male,0,No,No,52,No,56,32414
4598-XLKNJ,Female,1,Yes,No,25,Yes,75,88940
6380-ARCEH,Male,0,No,No,1,No,46,85330
3679-XASPY,Female,0,Yes,Yes,1,No,42,33866
7123-WQUHX,Male,0,No,No,38,No,46,92946
5386-THSLQ,Female,1,Yes,No,66,No,66,27593
3192-NQECA,Male,0,Yes,No,68,Yes,54,45052
6180-YBIQI,Male,0,No,No,5,No,27,94802
6728-DKUCO,Female,0,Yes,Yes,72,No,31,96775
9750-BOOHV,Female,0,No,No,32,No,42,76996
8597-CWYHH,Male,0,No,No,43,No,23,97584
2848-YXSMW,Male,0,Yes,Yes,72,No,33,23652
0486-HECZI,Male,0,Yes,No,55,Yes,38,56002
4549-ZDQYY,Female,0,No,No,52,No,25,40629
5712-AHQNN,Female,0,No,No,43,No,33,63264
4846-WHAFZ,Female,1,Yes,No,37,Yes,74,89444
5256-SKJGO,Female,0,Yes,Yes,64,No,32,65632
3071-VBYPO,Male,0,Yes,Yes,3,No,18,75268
9560-BBZXK,Female,0,No,No,36,No,50,21275
5299-RULOA,Female,0,Yes,Yes,10,Yes,39,74326
8402-OOOHJ,Female,0,No,No,41,No,32,64662
9445-ZUEQE,Male,0,Yes,Yes,27,No,39,19514
1091-SOZGA,Female,0,Yes,Yes,56,No,31,30274
2928-HLDBA,Female,0,No,No,6,No,46,98495
0404-SWRVG,Male,0,No,No,3,Yes,43,37628
6497-TILVL,Female,0,Yes,Yes,7,No,53,90222
7219-TLZHO,Female,0,Yes,Yes,4,No,54,29811
4622-YNKIJ,Male,0,No,No,33,No,16,89901
4412-YLTKF,Female,1,No,No,27,Yes,76,18183
6734-PSBAW,Male,0,Yes,No,72,No,48,77905
3930-ZGWVE,Male,0,No,No,1,No,26,95433
2639-UGMAZ,Male,1,No,No,71,No,68,91551
2876-GZYZC,Female,0,No,No,13,No,55,32768
6207-WIOLX,Female,0,Yes,Yes,25,Yes,49,57257
8587-XYZSF,Male,0,No,No,67,No,40,89139
3091-FYHKI,Male,0,No,No,1,Yes,45,32714
2372-HWUHI,Male,0,No,No,2,Yes,43,19480
7799-LGRDP,Female,0,No,No,43,No,36,64560
7850-VWJUU,Female,0,No,No,23,No,23,42780
3774-VBNXY,Female,0,Yes,Yes,64,No,59,38515
6217-KDYWC,Male,0,No,Yes,57,No,39,65151
0390-DCFDQ,Female,1,Yes,No,1,Yes,66,34547
3146-MSEGF,Female,1,Yes,Yes,72,No,64,27393
4080-OGPJL,Female,0,No,No,8,Yes,30,19443
1095-WGNGG,Female,0,Yes,No,61,No,21,39648
2636-SJDOU,Male,0,No,No,64,No,57,78740
1131-QQZEB,Male,1,Yes,No,71,No,67,89239
5716-EZXZN,Female,0,Yes,Yes,65,No,28,56158
6837-BJYDQ,Male,0,No,No,3,No,18,57775
2135-RXIHG,Male,0,No,No,1,Yes,26,72082
6440-DKQGE,Male,0,No,Yes,30,No,55,37397
3466-BYAVD,Male,0,Yes,Yes,15,No,18,66130
3780-YVMFA,Female,0,Yes,Yes,8,No,43,99905
3874-EQOEP,Male,0,No,No,7,Yes,34,89303
1679-JRFBR,Female,0,Yes,Yes,70,No,52,48333
9073-ZZIAY,Male,0,Yes,Yes,62,No,36,65391
3077-RSNTJ,Female,0,Yes,Yes,6,No,43,88025
6551-GNYDG,Female,0,Yes,Yes,14,No,39,71088
9167-APMXZ,Female,0,No,No,22,No,54,41885
2749-CTKAJ,Male,0,Yes,Yes,22,No,31,84253
6371-NZYEG,Male,0,Yes,Yes,16,No,58,84609
7554-NEWDD,Male,0,No,No,10,No,31,80150
8992-VONJD,Female,0,No,Yes,13,No,34,36423
0867-MKZVY,Female,0,Yes,No,20,Yes,36,86791
4482-EWFMI,Female,0,No,No,2,No,39,52405
4648-YPBTM,Male,0,No,No,53,No,51,23015
2907-ILJBN,Female,0,Yes,Yes,11,No,51,86337
6345-FZOQH,Male,0,Yes,No,69,No,49,20353
3376-BMGFE,Female,0,No,No,4,Yes,40,25245
5997-OPVFA,Male,0,Yes,No,72,No,34,64566
3445-HXXGF,Male,1,Yes,No,58,Yes,78,58941
1159-WFSGR,Female,0,Yes,Yes,16,No,28,40903
7654-YWJUF,Male,0,Yes,No,43,No,29,89081
1875-QIVME,Female,0,Yes,No,2,Yes,25,34240
6727-IOTLZ,Male,0,Yes,No,14,No,22,32378
0691-JVSYA,Female,0,Yes,No,53,Yes,23,96473
5918-VUKWP,Female,0,No,No,32,No,43,35818
1744-JHKYS,Female,0,Yes,No,34,No,16,86604
2656-FMOKZ,Female,1,No,No,15,Yes,61,22860
2070-FNEXE,Female,1,No,No,7,Yes,65,62713
5947-SGKCL,Female,0,Yes,Yes,15,No,38,42241
3712-PKXZA,Male,0,Yes,No,61,No,24,59584
6317-YPKDH,Female,0,No,No,1,Yes,28,33351
6582-OIVSP,Female,0,No,No,1,No,47,72360
9367-WXLCH,Male,0,No,No,8,Yes,58,15162
5524-KHNJP,Male,0,Yes,Yes,33,No,30,20738
1918-ZBFQJ,Female,0,No,No,13,Yes,19,10786
1024-GUALD,Female,0,Yes,No,1,Yes,47,44473
4827-USJHP,Male,0,No,No,20,No,56,87470
8167-GJLRN,Male,0,No,No,3,No,21,73201
0956-SYCWG,Female,0,No,No,13,No,50,84715
8017-UVSZU,Female,0,Yes,No,40,No,15,42748
7100-FQPRV,Male,0,Yes,Yes,43,No,41,88708
2472-OVKUP,Male,0,Yes,No,6,Yes,33,79386
2984-RGEYA,Female,0,Yes,Yes,69,No,39,56543
9680-NIAUV,Female,0,Yes,Yes,72,No,16,99577
2146-EGVDT,Male,0,Yes,Yes,59,No,27,94263
2604-IJPDU,Female,0,Yes,No,20,No,56,82344
9178-JHUVJ,Male,0,Yes,Yes,24,No,22,86778
6168-YBYNP,Male,0,No,No,59,No,35,18324
7255-SSFBC,Male,0,Yes,Yes,72,No,50,45419
3645-DEYGF,Male,0,No,Yes,1,No,32,62190
9323-HGFWY,Female,0,Yes,No,27,No,47,52054
8544-GOQSH,Female,0,No,No,14,No,59,35749
3363-DTIVD,Male,0,Yes,Yes,71,No,35,39176
7018-WBJNK,Male,0,No,Yes,13,No,22,15764
9142-KZXOP,Male,0,No,No,44,No,48,70990
7674-YTAFD,Female,0,No,No,33,No,33,46938
6348-SNFUS,Male,0,Yes,Yes,72,No,46,94580
1285-OKIPP,Male,0,No,No,1,Yes,54,61986
7825-ECJRF,Female,0,No,No,19,Yes,50,59457
1347-KTTTA,Male,0,Yes,No,64,No,57,37009
7841-TZDMQ,Male,0,No,No,2,Yes,15,37397
4195-NZGTA,Female,0,No,No,1,No,28,58940
7157-SMCFK,Male,0,No,Yes,61,No,43,57611
4709-LKHYG,Female,0,Yes,Yes,29,No,36,36269
2504-DSHIH,Male,1,Yes,No,23,No,61,68855
0699-NDKJM,Female,0,Yes,No,57,No,18,52422
9286-BHDQG,Male,0,Yes,Yes,72,No,45,59888
0230-WEQUW,Male,0,Yes,No,66,No,57,97588
2040-LDIWQ,Male,0,Yes,Yes,65,No,23,46415
6496-JDSSB,Female,0,No,No,8,No,40,43455
9408-SSNVZ,Female,0,No,No,4,Yes,53,20594
4443-EMBNA,Female,0,Yes,No,71,No,15,52749
6469-MRVET,Male,0,Yes,Yes,1,No,50,88736
0742-MOABM,Male,0,Yes,No,4,Yes,20,31996
5961-VUSRV,Female,0,No,No,12,No,24,68270
6778-JFCMK,Male,0,No,No,24,No,42,30186
6341-JVQGF,Female,0,Yes,Yes,31,No,21,55791
2232-DMLXU,Female,0,Yes,No,1,Yes,54,68857
4811-JBUVU,Male,0,No,No,30,No,59,92944
0945-TSONX,Female,0,Yes,Yes,47,No,55,93570
2651-ZCBXV,Male,0,No,No,54,No,52,59354
3316-UWXUY,Male,0,No,No,50,No,21,17180
8937-RDTHP,Male,0,No,No,1,Yes,31,72328
7083-MIOPC,Female,0,No,No,72,No,56,19867
1984-GPTEH,Female,0,No,No,29,No,44,31336
1251-KRREG,Male,0,No,No,2,Yes,53,69724
0621-JFHOL,Female,0,No,No,10,No,19,21850
9903-LYSAB,Male,0,Yes,No,18,No,24,31361
0094-OIFMO,Female,1,No,No,11,Yes,69,98342
9227-UAQFT,Male,0,No,No,16,No,58,40987
7301-ABVAD,Female,0,No,No,72,No,28,49797
6614-FHDBO,Male,0,No,No,72,No,45,65167
7576-ASEJU,Female,0,Yes,Yes,41,No,50,68894
9058-HRZSV,Female,1,Yes,No,65,No,67,71814
4522-AKYLR,Female,1,No,No,13,No,74,59725
0221-WMXNQ,Male,1,No,No,4,No,63,29178
0303-UNCIP,Male,0,No,No,41,No,53,95600
9947-OTFQU,Male,1,No,No,15,Yes,70,80640
0322-YINQP,Male,0,No,No,1,Yes,19,15943
0959-WHOKV,Male,0,No,No,42,No,52,28865
4075-JFPGR,Female,0,Yes,No,51,No,53,93178
4629-NRXKX,Female,0,Yes,Yes,2,Yes,36,32012
9514-JDSKI,Male,1,Yes,No,1,Yes,61,61077
3282-ZISZV,Male,0,No,Yes,32,No,17,86868
3675-YDUPJ,Male,0,No,No,10,No,52,82536
4111-BNXIF,Female,0,Yes,Yes,67,No,38,54218
7017-VFHAY,Female,0,Yes,Yes,61,No,32,34086
6655-LHBYW,Male,0,No,No,50,No,21,75754
4959-JOSRX,Female,0,Yes,No,2,Yes,28,20125
5046-NUHWD,Female,1,Yes,No,29,No,60,45831
7273-TEFQD,Male,1,No,No,3,Yes,61,54286
3606-TWKGI,Male,1,No,No,13,Yes,71,15787
7529-ZDFXI,Male,1,Yes,No,57,No,60,54292
7605-BDWDC,Female,0,No,No,31,No,34,14924
1950-KSVVJ,Female,0,Yes,No,45,No,50,41757
0123-CRBRT,Female,0,Yes,Yes,61,No,40,58441
6292-TOSSS,Male,0,No,No,50,No,51,66271
3197-ARFOY,Female,1,No,No,19,No,77,32797
6323-AYBRX,Male,0,No,No,59,Yes,24,88819
7014-ZZXAW,Female,0,Yes,No,71,No,45,45975
4385-GZQXV,Female,1,No,No,16,Yes,73,25937
7633-MVPUY,Male,0,Yes,No,57,No,35,86371
6366-ZGQGL,Male,0,No,No,1,Yes,41,99264
4716-HHKQH,Male,1,Yes,No,20,No,72,97354
5940-AHUHD,Male,0,No,No,1,Yes,42,41243
